year,living_planet_index_Freshwater,living_planet_index_Reptiles,upper_ci_living_planet_index_95_percent_ci_Freshwater,upper_ci_living_planet_index_95_percent_ci_Reptiles,lower_ci_living_planet_index_95_percent_ci_Freshwater,lower_ci_living_planet_index_95_percent_ci_Reptiles
1970,100,100,100,100,100,100
1971,97.8583836,99.5715505,101.9137098,104.51353029999999,94.1536681,94.8349875
1972,98.415964,99.6179387,103.044731,106.03414959999999,94.2174643,93.207004800000007
1973,96.63725319999999,97.2005818,101.51428010000001,104.76724109999999,92.17801949999999,90.5731767
1974,92.5651845,96.40462199999999,97.4741319,104.55056250000001,88.0381081,89.5234542
1975,89.2381274,97.2280833,94.2115692,105.1204749,84.708426,89.27673200000001
1976,85.3046468,97.8696341,90.2616866,106.5157731,80.7131445,88.5833018
1977,82.33891209999999,98.6857938,87.35884820000001,108.1731485,77.6124136,89.72053700000001
1978,80.9869339,97.18393640000001,86.2072953,106.8484559,76.2248807,87.7589054
1979,78.8822277,94.76967640000001,84.1820077,105.5520293,73.99239539999999,85.1890701
1980,75.8337047,91.5100806,81.1893688,104.0332781,70.832683,79.9097813
1981,75.2246789,90.3860924,82.6604754,103.1967039,69.01919199999999,76.2395944
1982,71.63866709999999,89.89465290000001,79.2047714,103.6475871,65.3299835,75.9247487
1983,68.0120395,89.1613054,75.47812809999999,103.81324620000001,61.7376714,73.8557722
1984,63.217455,92.897958,71.5908457,108.7495624,55.8054194,76.7053028
1985,61.6110827,94.7472724,71.0483055,112.08951309999999,53.27982959999999,76.2856764
1986,58.4417937,96.197692,68.3139764,112.50065090000001,50.0373411,76.9688895
1987,53.7473384,101.66660750000001,63.17173940000001,119.5394423,45.5164815,80.277941
1988,49.5230788,103.50331589999999,58.850647,120.424745,41.512267200000004,81.0478584
1989,48.1652616,102.81269390000001,57.596497400000004,122.52449130000001,40.047659800000005,82.6213856
1990,49.374652600000005,104.2717704,59.703142799999995,125.0269673,40.7192344,82.9239451
1991,45.2103906,98.8578912,55.1331896,120.4460948,36.9213661,74.3124796
1992,43.6449809,97.5761463,53.857430699999995,121.820245,35.2102741,73.4577696
1993,43.1479772,101.94112580000001,53.6456124,130.1257712,34.521088999999996,77.1679597
1994,39.5064799,97.07088710000001,49.6593371,126.66937030000001,31.4799094,70.4481532
1995,38.3397102,98.3241103,48.5412304,127.58962140000001,30.2571555,67.9360147
1996,35.764920100000005,96.8991788,45.434771600000005,124.9255054,28.1310916,66.30798850000001
1997,33.293326699999994,99.0277004,42.5761858,132.2332,26.1001325,68.5716889
1998,30.4820366,103.7737316,39.1798529,135.85493449999998,23.7326171,70.1307513
1999,28.961097400000003,101.7680775,37.312232,132.2788517,22.4718263,69.6698526
2000,27.715544199999997,96.8968661,35.9926612,123.9319316,21.3604834,65.2672581
2001,25.9412118,92.8326386,33.7812529,123.4582644,19.955636900000002,63.0097842
2002,23.600237399999997,83.34036660000001,31.3130535,118.4247911,17.7557342,56.849695200000006
2003,23.091464600000002,85.5623956,30.6202115,122.58849190000001,17.2828708,56.7996736
2004,23.345722,84.7627432,31.1858499,121.11220170000001,17.3693383,56.7418713
2005,20.9693612,85.6192907,28.5335915,128.8048339,15.375325,59.11835680000001
2006,20.2308865,81.7678999,27.6293756,122.9858817,14.7619762,54.9959558
2007,19.2347982,81.56377649999999,26.4996216,123.19515270000001,13.940836500000001,53.1266424
2008,19.1034303,77.35549069999999,26.355489300000002,117.5983799,13.787955900000002,49.1491163
2009,19.1009743,72.1400158,26.4915355,109.3838223,13.730979600000001,47.0933143
2010,18.6605302,72.6759722,26.0415615,119.1357215,13.289247600000001,44.2061218
2011,16.7953369,65.9873281,23.816013899999998,112.9531382,11.7375753,39.6751285
2012,15.478499600000001,62.51899039999999,22.2955859,101.4373397,10.5906175,36.8188997
2013,14.957475800000001,61.9201588,21.7539738,99.5813134,10.2299274,37.3284002
2014,15.3329664,64.55962699999999,22.2814494,107.1288159,10.4058221,38.6531288
2015,15.6500523,64.1649412,22.7748502,106.9647956,10.6202971,37.2732866
2016,15.5070688,69.0232784,22.524096099999998,119.399877,10.5370913,39.4786
