year,"Babies named ""Mia""",UFO sightings
1945,8,31.200000000000003
1946,13,20.8
1947,14,78
1948,18,20.8
1949,23,36.4
1950,20,72.8
1951,28,57.2
1952,31,83.2
1953,31,62.400000000000006
1954,46,135.20000000000002
1955,42,78
1956,39,88.4
1957,40,156
1958,33,93.60000000000001
1959,51,98.8
1960,52,208
1961,48,124.80000000000001
1962,85,145.6
1963,104,202.8
1964,300,187.20000000000002
1965,1053,483.6
1966,721,390
1967,738,478.40000000000003
1968,682,525.2
1969,462,374.40000000000003
1970,487,343.2
1971,482,332.8
1972,416,405.6
1973,349,520
1974,390,556.4
1975,368,650
1976,355,629.2
1977,443,598
1978,523,806
1979,602,603.2
1980,680,655.2
1981,718,338
1982,548,416
1983,471,312
1984,452,400.40000000000003
1985,499,468
1986,491,410.8
1987,544,400.40000000000003
1988,620,530.4
1989,658,650
1990,780,540.8000000000001
1991,779,639.6
1992,821,634.4
1993,794,717.6
1994,859,941.2
1995,1102,2043.6000000000001
1996,1689,1768
1997,2493,2568.8
1998,2566,3406
1999,2737,5928
2000,3451,5772
2001,3918,6302.4000000000005
2002,6257,6916
2003,7081,7732.4000000000005
2004,7397,8715.2
2005,10843,8720.4
2006,12024,7607.6
2007,10915,9209.2
2008,10168,9562.800000000001
2009,11423,8944
2010,10637,10150.4
